experiment,contrast,metric,n_blocks,mean_difference,ci_95_low,ci_95_high,exact_p,positive_blocks,negative_blocks,zero_blocks,block_differences,model_mean_differences
EXP-1,likes - control,minority_survival_rate,4,-0.05833333333333335,-0.2,0.08333333333333331,0.5,1,2,1,-0.200000; 0.000000; -0.200000; 0.166667,llama3.2:3b: -0.1000; qwen3.5:2b: -0.0167
EXP-1,likes - control,final_majority_fraction,4,0.012499999999999997,-0.07499999999999998,0.09999999999999998,1.0,2,2,0,0.100000; -0.100000; -0.050000; 0.100000,llama3.2:3b: -0.0000; qwen3.5:2b: +0.0250
EXP-1,likes - control,final_mean_pairwise_sim,4,0.03664253652095795,0.0036347508430480957,0.08420059084892273,0.125,4,0,0,0.006451; 0.000819; 0.110117; 0.029183,llama3.2:3b: +0.0036; qwen3.5:2b: +0.0697
EXP-1,likes - control,final_persona_retention,4,-0.006436558812856652,-0.026389442011713976,0.00782275423407558,0.75,2,2,0,0.004324; 0.011322; -0.036627; -0.004765,llama3.2:3b: +0.0078; qwen3.5:2b: -0.0207
EXP-1,majority - control,minority_survival_rate,4,-0.15833333333333335,-0.3166666666666667,0.0,0.5,0,2,2,-0.300000; 0.000000; -0.333333; 0.000000,llama3.2:3b: -0.1500; qwen3.5:2b: -0.1667
EXP-1,majority - control,final_majority_fraction,4,0.0625,-0.012499999999999997,0.125,0.375,3,1,0,-0.050000; 0.050000; 0.150000; 0.100000,llama3.2:3b: +0.0000; qwen3.5:2b: +0.1250
EXP-1,majority - control,final_mean_pairwise_sim,4,-0.016977354884147644,-0.0387597382068634,0.004805028438568115,0.375,1,3,0,-0.032133; -0.045386; -0.003011; 0.012621,llama3.2:3b: -0.0388; qwen3.5:2b: +0.0048
EXP-1,majority - control,final_persona_retention,4,-0.003060096129775036,-0.012058912217616985,0.010439814999699565,0.75,1,3,0,-0.006884; -0.008238; -0.013784; 0.016666,llama3.2:3b: -0.0076; qwen3.5:2b: +0.0014
EXP-1,leaderboard - control,minority_survival_rate,4,-0.15833333333333335,-0.35,0.07499999999999996,0.25,1,3,0,-0.200000; -0.200000; -0.400000; 0.166667,llama3.2:3b: -0.2000; qwen3.5:2b: -0.1167
EXP-1,leaderboard - control,final_majority_fraction,4,0.012500000000000011,-0.04999999999999999,0.10000000000000002,1.0,1,2,1,-0.050000; -0.050000; 0.150000; 0.000000,llama3.2:3b: -0.0500; qwen3.5:2b: +0.0750
EXP-1,leaderboard - control,final_mean_pairwise_sim,4,0.02575741708278656,-0.011497080326080322,0.06301191449165344,0.5,2,2,0,-0.009641; -0.013354; 0.054718; 0.071306,llama3.2:3b: -0.0115; qwen3.5:2b: +0.0630
