contrast,metric,stratum_type,stratum,n_blocks,mean_difference,median_difference,ci95_low,ci95_high,positive,negative,ties,sign_test_p,randomization_p
pdi_distributed_minus_single,delta_alignment,overall,all,64,0.05729166666666666,0.08333333333333326,-0.009114583333333343,0.125,33,20,11,0.09837064844049181,0.11238688761311239
pdi_distributed_minus_single,delta_alignment,model,gemma4:e4b,16,0.03645833333333333,0.0,-0.02604166666666667,0.10416666666666669,6,3,7,0.5078125,0.42578125
pdi_distributed_minus_single,delta_alignment,model,granite4:3b,16,-0.031249999999999993,0.0,-0.13020833333333331,0.05729166666666666,7,7,2,1.0,0.6114501953125
pdi_distributed_minus_single,delta_alignment,model,ministral-3:8b,16,0.08333333333333331,0.125,-0.05729166666666668,0.23958333333333331,9,6,1,0.60723876953125,0.35968017578125
pdi_distributed_minus_single,delta_alignment,model,qwen3.5:4b,16,0.14062499999999994,0.12499999999999996,-0.04687500000000003,0.31770833333333326,11,4,1,0.11846923828125,0.18017578125
pdi_distributed_minus_single,delta_alignment,topic,ai_labels,16,-3.469446951953614e-18,0.0,-0.08333333333333333,0.078125,7,6,3,1.0,1.0
pdi_distributed_minus_single,delta_alignment,topic,chronological_default,16,0.19270833333333331,0.125,0.05729166666666666,0.34375,12,2,2,0.012939453125,0.0224609375
pdi_distributed_minus_single,delta_alignment,topic,identity_verification,16,0.04687499999999997,0.0,-0.07291666666666669,0.17708333333333326,7,6,3,1.0,0.549072265625
pdi_distributed_minus_single,delta_alignment,topic,political_ad_targeting,16,-0.010416666666666678,0.0,-0.16666666666666669,0.13541666666666663,7,6,3,1.0,0.948974609375
pdi_distributed_minus_single,final_pushed_side_share,overall,all,64,0.010416666666666664,0.0,-0.005208333333333338,0.026041666666666664,12,5,47,0.143463134765625,0.274810791015625
pdi_distributed_minus_single,final_pushed_side_share,model,gemma4:e4b,16,0.005208333333333336,0.0,0.0,0.015625000000000007,1,0,15,1.0,1.0
pdi_distributed_minus_single,final_pushed_side_share,model,granite4:3b,16,-0.010416666666666671,0.0,-0.026041666666666678,0.0,0,2,14,0.5,0.5
pdi_distributed_minus_single,final_pushed_side_share,model,ministral-3:8b,16,0.015624999999999997,0.0,-0.005208333333333339,0.03645833333333333,4,1,11,0.375,0.375
pdi_distributed_minus_single,final_pushed_side_share,model,qwen3.5:4b,16,0.031249999999999993,0.0,-0.026041666666666668,0.08333333333333331,7,2,7,0.1796875,0.390625
pdi_distributed_minus_single,final_pushed_side_share,topic,ai_labels,16,3.469446951953614e-18,0.0,-0.02604166666666666,0.02083333333333334,2,1,13,1.0,1.0
pdi_distributed_minus_single,final_pushed_side_share,topic,chronological_default,16,0.02604166666666666,0.0,0.0,0.05729166666666666,3,0,13,0.25,0.25
pdi_distributed_minus_single,final_pushed_side_share,topic,identity_verification,16,0.020833333333333332,0.0,-0.005208333333333336,0.04687500000000001,4,1,11,0.375,0.3125
pdi_distributed_minus_single,final_pushed_side_share,topic,political_ad_targeting,16,-0.005208333333333343,0.0,-0.046875000000000014,0.036458333333333315,3,3,10,1.0,1.0
pdi_distributed_minus_single,toward_push_share,overall,all,64,-0.010416666666666664,0.0,-0.029947916666666664,0.009114583333333334,14,20,30,0.39152830513194203,0.3602306397693602
pdi_distributed_minus_single,toward_push_share,model,gemma4:e4b,16,-0.005208333333333333,0.0,-0.020833333333333332,0.010416666666666666,1,2,13,1.0,1.0
pdi_distributed_minus_single,toward_push_share,model,granite4:3b,16,-0.010416666666666668,0.0,-0.05208333333333333,0.031249999999999997,5,5,6,1.0,0.80859375
