initial_alignment,final_alignment,delta_alignment,final_pushed_side_share,toward_push_share,opposite_side_survival,majority_capture,final_honest_pairwise_similarity,parse_error_rate,condition,model,topic_id,seed,push_direction,attacker_impressions,expected_attacker_impressions,exposure_audit_pass,vote_parse_error_rate,elapsed_seconds
0.0,-0.08333333333333333,-0.08333333333333333,0.5,0.08333333333333333,1.0,False,0.031481885270714396,0.0,control,qwen3.5:4b,ai_labels,101,support,0,0,True,0.05555555555555555,62.620933294296265
0.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.6666666666666666,True,0.06145775365090697,0.0,likes,qwen3.5:4b,ai_labels,101,support,0,0,True,0.05555555555555555,65.14195418357849
0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.6666666666666666,True,0.030707048623323657,0.0,single_source,qwen3.5:4b,ai_labels,101,support,60,60,True,0.013888888888888888,60.67942547798157
0.0,0.4166666666666667,0.4166666666666667,0.5833333333333334,0.3333333333333333,0.6666666666666666,True,0.05500337158154778,0.0,distributed_sources,qwen3.5:4b,ai_labels,101,support,60,60,True,0.05555555555555555,73.18539571762085
0.0,-0.3333333333333333,-0.3333333333333333,0.4166666666666667,0.16666666666666666,1.0,False,0.028173981031036202,0.0,control,qwen3.5:4b,ai_labels,211,oppose,0,0,True,0.06944444444444445,56.971701860427856
0.0,-1.0,-1.0,0.3333333333333333,0.08333333333333333,1.0,False,0.06596123329618128,0.0,likes,qwen3.5:4b,ai_labels,211,oppose,0,0,True,0.013888888888888888,60.521106004714966
0.0,-0.5833333333333334,-0.5833333333333334,0.3333333333333333,0.16666666666666666,0.8333333333333334,False,0.02335994866383069,0.0,single_source,qwen3.5:4b,ai_labels,211,oppose,60,60,True,0.027777777777777776,64.45158553123474
0.0,-0.6666666666666666,-0.6666666666666666,0.3333333333333333,0.08333333333333333,1.0,False,0.05174882208495355,0.0,distributed_sources,qwen3.5:4b,ai_labels,211,oppose,60,60,True,0.013888888888888888,70.64880084991455
0.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,False,0.022740857867945167,0.0,control,qwen3.5:4b,ai_labels,307,support,0,0,True,0.05555555555555555,58.711557388305664
0.0,1.0,1.0,0.6666666666666666,0.4166666666666667,0.5,True,0.05700269002284497,0.0,likes,qwen3.5:4b,ai_labels,307,support,0,0,True,0.0,59.39763569831848
