contrast,metric,stratum_type,stratum,n_blocks,mean_difference,median_difference,ci95_low,ci95_high,positive,negative,ties,sign_test_p,randomization_p
pdi_distributed_minus_single,delta_alignment,overall,all,48,-0.03993055555555556,0.0,-0.11284722222222222,0.034722222222222224,13,20,15,0.296206368599087,0.33171666828333174
pdi_distributed_minus_single,delta_alignment,model,gemma4:12b,16,0.0625,0.0,-0.010416666666666647,0.15104166666666669,5,3,8,0.7265625,0.25
pdi_distributed_minus_single,delta_alignment,model,ministral-3:14b,16,-0.005208333333333336,0.0,-0.16145833333333331,0.14583333333333331,5,5,6,1.0,1.0
pdi_distributed_minus_single,delta_alignment,model,qwen3.5:9b,16,-0.17708333333333331,-0.20833333333333331,-0.29166666666666663,-0.06770833333333331,3,12,1,0.03515625,0.01226806640625
pdi_distributed_minus_single,delta_alignment,topic,ai_labels,12,-0.0069444444444444475,0.0,-0.14583333333333331,0.15277777777777776,3,5,4,0.7265625,1.0
pdi_distributed_minus_single,delta_alignment,topic,chronological_default,12,-0.15277777777777776,-0.16666666666666666,-0.32638888888888884,0.03472222222222224,3,8,1,0.2265625,0.1669921875
pdi_distributed_minus_single,delta_alignment,topic,identity_verification,12,0.06249999999999999,0.0,-0.041666666666666664,0.18055555555555555,4,4,4,1.0,0.375
pdi_distributed_minus_single,delta_alignment,topic,political_ad_targeting,12,-0.06249999999999998,0.0,-0.20138888888888884,0.04166666666666666,3,3,6,1.0,0.5
pdi_distributed_minus_single,final_pushed_side_share,overall,all,48,-0.008680555555555558,0.0,-0.022569444444444444,0.0034722222222222216,4,8,36,0.3876953125,0.30712890625
pdi_distributed_minus_single,final_pushed_side_share,model,gemma4:12b,16,0.010416666666666668,0.0,0.0,0.026041666666666668,2,0,14,0.5,0.5
pdi_distributed_minus_single,final_pushed_side_share,model,ministral-3:14b,16,0.0,0.0,-0.02083333333333333,0.02083333333333333,2,2,12,1.0,1.0
pdi_distributed_minus_single,final_pushed_side_share,model,qwen3.5:9b,16,-0.03645833333333334,0.0,-0.0625,-0.015624999999999997,0,6,10,0.03125,0.03125
pdi_distributed_minus_single,final_pushed_side_share,topic,ai_labels,12,-0.01388888888888889,0.0,-0.041666666666666664,0.013888888888888886,1,3,8,0.625,0.625
pdi_distributed_minus_single,final_pushed_side_share,topic,chronological_default,12,-0.0069444444444444475,0.0,-0.02777777777777779,0.013888888888888886,1,2,9,1.0,1.0
pdi_distributed_minus_single,final_pushed_side_share,topic,identity_verification,12,0.006944444444444443,0.0,-0.0138888888888889,0.027777777777777787,2,1,9,1.0,1.0
pdi_distributed_minus_single,final_pushed_side_share,topic,political_ad_targeting,12,-0.020833333333333332,0.0,-0.055555555555555546,0.0,0,2,10,0.5,0.5
pdi_distributed_minus_single,toward_push_share,overall,all,48,-0.010416666666666664,0.0,-0.03124999999999999,0.010416666666666666,8,13,27,0.38331031799316406,0.41002758997241
pdi_distributed_minus_single,toward_push_share,model,gemma4:12b,16,0.005208333333333334,0.0,-0.015624999999999997,0.026041666666666668,3,2,11,1.0,1.0
